ElectricStorage.size_kw,ElectricStorage.size_kwh,ElectricStorage.initial_capital_cost,ElectricUtility.lifecycle_emissions_tonnes_PM25,ElectricUtility.lifecycle_emissions_tonnes_SO2,ElectricUtility.lifecycle_emissions_tonnes_NOx,ElectricUtility.lifecycle_emissions_tonnes_CO2,ElectricTariff.lifecycle_fixed_cost_after_tax,ElectricTariff.lifecycle_energy_cost_after_tax,Site.total_renewable_energy_fraction,Site.annual_emissions_tonnes_PM25,PV.size_kw,PV.annual_energy_produced_kwh,PV.lcoe_per_kwh,PV.lifecycle_om_cost_after_tax,Financial.lcc,Financial.lifecycle_om_costs_after_tax,Financial.lifecycle_capital_costs_plus_om_after_tax,Financial.lifecycle_emissions_cost_health,Financial.lifecycle_outage_cost,Financial.initial_capital_costs_after_incentives,Financial.lifecycle_storage_capital_costs,Financial.lifecycle_om_costs_before_tax,Financial.lifecycle_emissions_cost_climate,Financial.lifecycle_fuel_costs_after_tax,Financial.lifecycle_capital_costs,Financial.replacements_future_cost_after_tax,Financial.developer_om_and_replacement_present_cost_after_tax
107.07,147.68,111314.5,1.74,18.65,18.65,27431.52,50593.04,1237773.32,0.194933,0.08,346.3918,438561.47,0.0906,174640.0,2991998.7976,174640.3478,485315.845,49.48,0.0,280122.3412,112112.1233,218300.4347,920137.38,0.0,310675.4972,83219.1028,205193.5037
107.12,147.75,111367.0,1.74,18.66,18.66,27444.25,50593.04,1238347.96,0.194933,0.08,346.5527,438764.64,0.0906,174721.0,2993364.3528,174721.425,485541.1541,49.51,0.0,280252.3887,112164.1716,218401.7813,920564.55,0.0,310819.7291,83257.7375,205288.7653
107.17,147.82,111419.5,1.74,18.67,18.67,27456.99,50593.04,1238922.6,0.194933,0.08,346.7135,438968.74,0.0906,174803.0,2994729.9079,174802.5022,485766.4632,49.53,0.0,280382.4363,112216.2199,218503.1278,920991.73,0.0,310963.961,83296.3722,205384.027
107.22,147.89,111472.0,1.75,18.68,18.68,27469.72,50593.04,1239497.24,0.194933,0.08,346.8743,439171.91,0.0906,174884.0,2996095.463,174883.5795,485991.7723,49.55,0.0,280512.4838,112268.2683,218604.4743,921418.91,0.0,311108.1929,83335.0068,205479.2886
107.27,147.95,111519.5,1.75,18.69,18.69,27482.46,50593.04,1240071.88,0.194933,0.08,347.0351,439376.01,0.0906,174965.0,2997461.0182,174964.6567,486217.0815,49.58,0.0,280642.5313,112320.3166,218705.8209,921846.08,0.0,311252.4248,83373.6415,205574.5502
107.32,148.02,111572.0,1.75,18.69,18.69,27495.19,50593.04,1240646.52,0.194933,0.08,347.1959,439579.18,0.0906,175046.0,2998826.5733,175045.7339,486442.3906,49.6,0.0,280772.5788,112372.365,218807.1674,922273.26,0.0,311396.6566,83412.2762,205669.8118
100.21,138.22,104183.5,1.63,17.46,17.46,25674.06,50593.04,1158473.08,0.194933,0.08,324.1996,410464.58,0.0906,163452.0,2803552.1892,163451.6904,454223.1864,46.31,0.0,262175.7846,104929.4524,204314.613,861187.07,0.0,290771.496,77887.5168,192047.4018
107.37,148.09,111624.5,1.75,18.7,18.7,27507.93,50593.04,1241221.16,0.194933,0.08,347.3567,439783.28,0.0906,175127.0,3000192.1284,175126.8112,486667.6997,49.62,0.0,280902.6263,112424.4133,218908.5139,922700.43,0.0,311540.8885,83450.9109,205765.0734
107.42,148.16,111677.0,1.75,18.71,18.71,27520.66,50593.04,1241795.8,0.194933,0.08,347.5175,439986.45,0.0906,175208.0,3001557.6836,175207.8884,486893.0088,49.65,0.0,281032.6738,112476.4616,219009.8605,923127.61,0.0,311685.1204,83489.5456,205860.335
107.47,148.23,111729.5,1.75,18.72,18.72,27533.4,50593.04,1242370.44,0.194933,0.08,347.6783,440190.55,0.0906,175289.0,3002923.2387,175288.9656,487118.3179,49.67,0.0,281162.7213,112528.51,219111.207,923554.79,0.0,311829.3523,83528.1803,205955.5966
107.52,148.3,111782.0,1.75,18.73,18.73,27546.13,50593.04,1242945.08,0.194933,0.08,347.8392,440393.72,0.0906,175370.0,3004288.7938,175370.0428,487343.6271,49.69,0.0,281292.7688,112580.5583,219212.5535,923981.96,0.0,311973.5842,83566.8149,206050.8582
107.57,148.37,111834.5,1.75,18.74,18.74,27558.87,50593.04,1243519.72,0.194933,0.08,348.0,440597.82,0.0906,175451.0,3005654.349,175451.1201,487568.9362,49.71,0.0,281422.8164,112632.6067,219313.9001,924409.14,0.0,312117.8161,83605.4496,206146.1198
107.62,148.43,111882.0,1.75,18.75,18.75,27571.6,50593.04,1244094.36,0.194933,0.08,348.1608,440800.98,0.0906,175532.0,3007019.9041,175532.1973,487794.2453,49.74,0.0,281552.8639,112684.655,219415.2466,924836.31,0.0,312262.048,83644.0843,206241.3814
107.67,148.5,111934.5,1.75,18.75,18.75,27584.34,50593.04,1244669.0,0.194933,0.08,348.3216,441005.09,0.0906,175613.0,3008385.4592,175613.2745,488019.5544,49.76,0.0,281682.9114,112736.7033,219516.5932,925263.49,0.0,312406.2799,83682.719,206336.643
107.72,148.57,111987.0,1.75,18.76,18.76,27597.07,50593.04,1245243.63,0.194933,0.08,348.4824,441208.25,0.0906,175694.0,3009751.0144,175694.3517,488244.8635,49.78,0.0,281812.9589,112788.7517,219617.9397,925690.67,0.0,312550.5118,83721.3537,206431.9046
107.77,148.64,112039.5,1.75,18.77,18.77,27609.81,50593.04,1245818.27,0.194933,0.08,348.6432,441412.36,0.0906,175775.0,3011116.5695,175775.429,488470.1727,49.81,0.0,281943.0064,112840.8,219719.2862,926117.84,0.0,312694.7437,83759.9883,206527.1663
107.82,148.71,112092.0,1.76,18.78,18.78,27622.54,50593.04,1246392.91,0.194933,0.08,348.804,441615.52,0.0906,175857.0,3012482.1246,175856.5062,488695.4818,49.83,0.0,282073.0539,112892.8484,219820.6328,926545.02,0.0,312838.9756,83798.623,206622.4279
100.26,138.29,104236.0,1.63,17.46,17.46,25686.8,50593.04,1159047.72,0.194933,0.08,324.3604,410667.75,0.0906,163533.0,2804917.7443,163532.7676,454448.4955,46.34,0.0,262305.8321,104981.5008,204415.9595,861614.25,0.0,290915.7279,77926.1515,192142.6634
